标题,里程,日期,地区,会员,原价,现价,过户情况
宝马M4 2014款 M4敞篷轿跑车,5.6万公里,2016-07,杭州,1年黄金会员,44.80,119.18万,无
宝马3系 2019款 320Li 时尚型,10万公里,2019-03,金华,5年黄金会员,18.80,34.39万,0次过户
宝马X3 2018款 xDrive30i 领先型 M运动套装 国V,6万公里,2018-06,温州,1年黄金会员,25.99,53.93万,0次过户
宝马3系 2020款 325Li 首发版,3万公里,2020-01,温州,1年黄金会员,26.28,35.16万,0次过户
宝马M4 2019款 M4敞篷轿跑车竞速版,4.18万公里,2020-04,杭州,2年黄金会员,63.80,106.37万,0次过户-原厂质保
宝马X5(进口) 2011款 xDrive35i 豪华型,20万公里,2012-11,台州,1年黄金会员,11.50,109.09万,0次过户
宝马3系 2022款 325i M运动套装,0.5万公里,2022-01,杭州,3年黄金会员,28.78,33.90万,准新车-0次过户
宝马5系 2019款 525Li 豪华套装,7.1万公里,2019-01,金华,3年黄金会员,29.30,46.34万,无
宝马5系 2019款 530Li 尊享型 M运动套装,6万公里,2019-04,台州,7年黄金会员,34.98,55.02万,0次过户
宝马M4 2014款 M4敞篷轿跑车,11万公里,2015-01,金华,5年黄金会员,39.80,119.18万,0次过户
宝马X5(进口) 2020款 xDrive30i X设计套装,3万公里,2020-01,温州,1年黄金会员,52.88,75.97万,0次过户
宝马5系 2022款 改款 530Li 领先型 M运动套装,1万公里,2022-06,杭州,3年黄金会员,42.80,51.22万,准新车-0次过户
宝马4系 2022款 430i M运动曜夜套装,1.6万公里,2021-10,杭州,2年黄金会员,46.80,48.72万,准新车-0次过户
宝马3系 2016款 320Li 进取型,13.1万公里,2016-04,金华,3年黄金会员,14.88,35.36万,0次过户
宝马7系 2017款 730Li 领先型,7.8万公里,2017-01,温州,2年黄金会员,38.98,97.48万,0次过户
宝马3系 2019款 320i M运动曜夜版,4万公里,2019-02,温州,2年黄金会员,19.58,36.88万,0次过户
宝马5系 2020款 525Li M运动套装,4万公里,2020-06,温州,2年黄金会员,32.58,46.34万,0次过户-原厂质保
宝马7系 2019款 改款 M760Li xDrive V12 运动套装,3.6万公里,2021-04,杭州,7年钻石会员,173.80,263.55万,准新车-0次过户
宝马5系 2019款 525Li 豪华套装,4.6万公里,2019-03,宁波,1年黄金会员,28.30,46.34万,0次过户
宝马5系 2013款 525Li 领先型,16万公里,2013-04,金华,2年黄金会员,12.80,49.89万,无
宝马3系 2021款 改款二 325Li M运动套装,0.8万公里,2021-12,温州,1年黄金会员,29.98,37.66万,准新车-0次过户
宝马X6 2018款 xDrive28i,8万公里,2018-07,金华,6年黄金会员,36.80,84.00万,0次过户
宝马5系新能源 2019款 530Le 豪华套装,9.31万公里,2018-11,杭州,2年黄金会员,29.50,53.94万,无
宝马2系 2015款 218i 敞篷轿跑车,4万公里,2017-03,杭州,2年黄金会员,18.80,35.31万,0次过户
宝马3系 2017款 320Li 时尚型,6.6万公里,2016-11,嘉兴,3年黄金会员,15.90,35.38万,0次过户
宝马4系 2017款 425i 敞篷M运动套装,4万公里,2018-09,宁波,1年黄金会员,24.58,56.10万,无
宝马5系新能源 2021款 535Le 豪华套装,0.3万公里,2021-11,嘉兴,3年钻石会员,39.58,54.26万,准新车-0次过户
宝马7系 2014款 730Li 臻享型,8万公里,2015-03,温州,4年会员,28.80,103.77万,0次过户
宝马1系 2021款 120i M运动版,1.37万公里,2021-04,嘉兴,3年钻石会员,13.48,22.12万,准新车-原厂质保
宝马5系 2022款 改款 530Li 尊享型 M运动套装,0.96万公里,2022-05,衢州,5年黄金会员,46.58,54.26万,准新车-0次过户
宝马X3 2018款 xDrive25i 豪华套装 国V,7.3万公里,2018-09,宁波,4年会员,23.80,43.40万,0次过户
宝马3系 2013款 改款 320Li 豪华设计套装,9万公里,2012-09,宁波,4年会员,23.80,43.40万,0次过户
宝马4系 2017款 430i 敞篷M运动套装,6万公里,2018-04,嘉兴,4年会员,23.80,43.40万,0次过户
宝马4系 2014款 420i 时尚型,10万公里,2015-03,湖州,4年会员,23.80,43.40万,0次过户
宝马X3(进口) 2016款 sDrive20i,10.1万公里,2016-11,宁波,1年会员,18.10,45.70万,0次过户
宝马3系 2017款 320Li 时尚型,9.2万公里,2016-10,宁波,1年会员,18.10,45.70万,0次过户
宝马5系 2020款 525Li M运动套装,4.2万公里,2020-02,宁波,1年会员,18.10,45.70万,0次过户
宝马3系 2014款 320Li 时尚型,7.9万公里,2014-10,温州,1年会员,12.98,38.95万,无
宝马5系 2018款 525Li 豪华套装,7万公里,2018-08,宁波,1年会员,27.80,47.42万,0次过户
宝马5系 2018款 530Li xDrive M运动套装,6.1万公里,2018-01,宁波,1年会员,30.28,54.15万,0次过户
宝马4系 2014款 428i 敞篷风尚设计套装,7.1万公里,2015-01,宁波,1年会员,22.98,73.38万,0次过户
宝马5系 2018款 改款 530Li 领先型 M运动套装,2.1万公里,2018-09,宁波,1年会员,29.18,51.77万,无
宝马3系 2014款 320Li 时尚型,12万公里,2016-05,嘉兴,6年会员,14.80,38.95万,0次过户
宝马1系 2018款 118i 运动型,7万公里,2018-03,嘉兴,6年会员,10.80,24.51万,0次过户
宝马3系 2015款 320i 时尚型,13万公里,2015-06,嘉兴,6年会员,10.80,36.15万,0次过户
宝马4系 2016款 420i 时尚型,5万公里,2017-08,金华,1年会员,21.00,52.97万,无
宝马iX3 2022款 领先型,1.8万公里,2022-01,嘉兴,3年会员,29.80,43.41万,无
宝马3系 2014款 320Li 时尚型,12万公里,2014-08,嘉兴,2年会员,11.98,38.95万,无
宝马5系 2017款 525Li 豪华设计套装,7万公里,2017-04,宁波,2年会员,11.98,38.95万,无
宝马4系 2017款 425i Gran Coupe 尊享型M运动套装,5.2万公里,2018-12,宁波,2年会员,11.98,38.95万,无
宝马5系 2020款 530Li 领先型 M运动套装,2.8万公里,2020-08,宁波,2年会员,11.98,38.95万,无
宝马5系 2017款 525Li 领先型,9.81万公里,2017-01,杭州,2年会员,11.98,38.95万,无
宝马3系GT 2016款 320i 时尚型,9.9万公里,2017-10,杭州,5年会员,18.98,43.20万,无
宝马X3 2018款 xDrive25i M运动套装 国V,5万公里,2018-08,宁波,1年会员,24.30,43.40万,0次过户
宝马3系(进口) 2009款 325i敞篷轿跑车,9.4万公里,2010-01,温州,4年会员,9.38,69.58万,无
宝马1系(进口) 2011款 120i 敞篷轿跑车,6万公里,2013-01,宁波,1年会员,9.60,39.95万,无
宝马5系 2011款 523Li 领先型,10.6万公里,2011-12,宁波,1年会员,10.80,48.80万,无
宝马5系 2019款 530Li 尊享型 M运动套装,5.5万公里,2019-11,宁波,1年会员,10.80,48.80万,无
宝马X5(进口) 2021款 xDrive40i M运动套装,3.2万公里,2022-03,杭州,4年会员,73.80,82.48万,无
宝马3系 2021款 325Li M运动套装,2.7万公里,2021-02,衢州,1年黄金会员,28.88,37.66万,准新车-0次过户
宝马5系 2021款 530Li 尊享型 M运动套装,1.7万公里,2021-08,宁波,1年黄金会员,28.88,37.66万,准新车-0次过户
宝马7系 2019款 740Li 领先型 豪华套装,5.3万公里,2020-04,杭州,4年会员,67.80,101.82万,无
宝马5系 2021款 530Li 尊享型 M运动套装,1.5万公里,2021-11,宁波,4年会员,67.80,101.82万,无
宝马7系 2019款 改款 740Li 尊享型 M运动套装,4.3万公里,2020-07,杭州,4年会员,69.80,115.93万,无
宝马X5(进口) 2020款 xDrive30i M运动套装,6.1万公里,2020-04,衢州,4年会员,69.80,115.93万,无
宝马X3 2019款 xDrive28i 豪华套装,5万公里,2019-10,温州,1年会员,27.50,46.22万,新上架-0次过户
宝马X6 2020款 xDrive30i M运动套装,3.2万公里,2020-09,宁波,4年会员,55.80,83.24万,新上架-0次过户
宝马3系 2020款 330i M运动曜夜套装,3.8万公里,2021-01,宁波,1年会员,28.80,41.24万,0次过户-原厂质保
宝马3系 2020款 325Li M运动套装,3.7万公里,2019-11,宁波,1年会员,22.80,37.66万,0次过户
宝马3系 2020款 改款 325Li 首发版,3.4万公里,2020-03,宁波,1年会员,23.80,35.16万,0次过户-原厂质保
宝马X1 2014款 sDrive18i 时尚型,11万公里,2015-03,杭州,1年会员,23.80,35.16万,0次过户-原厂质保
宝马7系 2019款 改款 730Li M运动套装,4万公里,2020-01,宁波,1年会员,23.80,35.16万,0次过户-原厂质保
宝马3系 2020款 320Li M运动套装,3.2万公里,2020-04,宁波,4年会员,21.80,34.62万,0次过户-原厂质保
宝马X4 2021款 xDrive 25i M运动套装,2.2万公里,2021-03,宁波,4年会员,34.60,49.49万,准新车-0次过户
宝马5系 2021款 530Li 领先型 M运动套装,1.8万公里,2021-01,宁波,4年会员,37.80,50.68万,0次过户-原厂质保
宝马X6 2008款 xDrive35i,15万公里,2008-11,宁波,4年会员,37.80,50.68万,0次过户-原厂质保
宝马5系 2018款 528Li 上市特别版,5.8万公里,2017-08,宁波,4年会员,37.80,50.68万,0次过户-原厂质保
宝马M3 2009款 M3敞篷轿跑车,8.6万公里,2011-06,宁波,4年会员,37.80,50.68万,0次过户-原厂质保
宝马3系 2011款 320i 豪华型,9万公里,2011-11,宁波,4年会员,37.80,50.68万,0次过户-原厂质保
宝马Z4 2012款 sDrive20i领先型,4.8万公里,2013-08,宁波,4年会员,37.80,50.68万,0次过户-原厂质保
宝马X5(进口) 2014款 xDrive35i 领先型,6.8万公里,2016-01,宁波,4年会员,37.80,50.68万,0次过户-原厂质保
宝马5系 2013款 525Li 领先型,9万公里,2013-09,宁波,4年会员,37.80,50.68万,0次过户-原厂质保
宝马3系 2017款 318Li 时尚型,8万公里,2017-08,宁波,4年会员,37.80,50.68万,0次过户-原厂质保
宝马3系 2020款 325Li M运动套装,3.5万公里,2020-01,宁波,1年会员,25.78,37.66万,0次过户
宝马5系 2021款 530Li 领先型 M运动套装,1.5万公里,2021-03,宁波,3年会员,38.00,50.68万,准新车-0次过户
宝马3系 2023款 320Li M运动套装,0.01万公里,2022-11,宁波,3年会员,38.00,50.68万,准新车-0次过户
宝马4系 2014款 428i 敞篷风尚设计套装,6.8万公里,2014-07,宁波,3年会员,38.00,50.68万,准新车-0次过户
宝马X4 2014款 xDrive20i X设计套装,6.5万公里,2015-04,宁波,3年会员,38.00,50.68万,准新车-0次过户
宝马X1 2019款 sDrive18Li 时尚型,4.2万公里,2019-06,宁波,3年会员,38.00,50.68万,准新车-0次过户
宝马5系 2018款 528Li 上市特别版,6万公里,2018-02,宁波,3年会员,38.00,50.68万,准新车-0次过户
宝马7系 2018款 730Li 领先型 卓越套装,9.7万公里,2017-06,宁波,1年会员,35.80,87.71万,0次过户
宝马X1 2018款 sDrive18Li 尊享型,6.3万公里,2017-07,宁波,2年会员,11.88,32.98万,0次过户
宝马3系 2010款 318i 领先型,8.2万公里,2010-10,宁波,2年会员,4.20,31.80万,0次过户
宝马M4 2021款 M4双门轿跑车 M xDrive 雷霆版,1.5万公里,2022-03,宁波,2年会员,4.20,31.80万,0次过户
宝马7系 2016款 730Li 领先型,9.5万公里,2016-06,宁波,2年会员,4.20,31.80万,0次过户
宝马X1 2016款 sDrive18Li 尊享型,9.7万公里,2016-07,宁波,2年会员,4.20,31.80万,0次过户
宝马3系 2017款 320Li 时尚型,6.8万公里,2017-04,宁波,2年会员,4.20,31.80万,0次过户
宝马X5(进口) 2008款 xDrive30i豪华型,15万公里,2008-07,杭州,2年会员,8.28,98.45万,无
宝马5系 2014款 525Li 领先型,12.8万公里,2014-01,宁波,1年会员,14.50,50.65万,无
宝马5系 2014款 525Li 领先型,10.5万公里,2015-01,宁波,1年会员,14.50,50.65万,0次过户
宝马2系旅行车 2016款 218i 时尚型,6.2万公里,2016-08,宁波,1年会员,7.90,25.49万,0次过户
宝马X5(进口) 2017款 xDrive35i M豪华运动型,6.56万公里,2017-12,宁波,1年会员,7.90,25.49万,0次过户
宝马5系 2014款 525Li 豪华设计套装,9.2万公里,2014-08,宁波,1年会员,7.90,25.49万,0次过户
宝马7系 2019款 730Li M运动套装,0.86万公里,2022-06,宁波,1年会员,7.90,25.49万,0次过户
宝马5系 2014款 525Li 领先型,8.5万公里,2015-09,宁波,1年会员,14.50,50.65万,0次过户
宝马1系(进口) 2012款 118i 运动型,7.5万公里,2012-01,宁波,1年会员,6.20,33.22万,无
宝马7系 2011款 730Li典雅型,11万公里,2011-09,杭州,1年会员,6.20,33.22万,无
宝马X3(进口) 2009款 xDrive25i豪华增配型,20万公里,2010-10,杭州,1年会员,4.00,63.07万,无
宝马4系 2014款 428i 敞篷风尚设计套装,5.2万公里,2015-01,宁波,1年会员,20.50,73.38万,0次过户
宝马3系 2023款 320Li M运动套装,0.65万公里,2022-01,宁波,1年会员,20.50,73.38万,0次过户
宝马3系 2020款 325Li M运动曜夜套装,3.1万公里,2019-09,宁波,1年会员,20.50,73.38万,0次过户
宝马3系 2020款 325Li M运动曜夜套装,0.9万公里,2019-09,宁波,1年会员,20.50,73.38万,0次过户
宝马5系 2021款 525Li M运动套装,4.8万公里,2021-01,宁波,1年会员,20.50,73.38万,0次过户
宝马4系 2016款 420i 敞篷时尚型,5.8万公里,2016-11,温州,1年会员,22.80,61.87万,0次过户
宝马X3 2022款 xDrive30i 领先型 M曜夜套装,4.8万公里,2021-01,宁波,1年会员,22.80,61.87万,0次过户
宝马X5(进口) 2017款 xDrive35i M运动型,9万公里,2017-02,宁波,1年会员,33.80,99.65万,无
宝马X4 2019款 xDrive25i M运动套装,3.8万公里,2018-12,宁波,1年会员,33.80,99.65万,无
宝马5系 2012款 520Li 典雅型,15万公里,2012-07,嘉兴,1年会员,33.80,99.65万,无
宝马3系 2014款 320i 进取型,10万公里,2013-12,杭州,2年会员,10.88,34.74万,0次过户
宝马5系 2021款 530Li 尊享型 M运动套装,2万公里,2021-04,宁波,1年会员,36.80,55.02万,准新车-0次过户
宝马3系 2013款 320Li 时尚型,8.69万公里,2012-12,宁波,1年黄金会员,8.58,38.49万,新上架-0次过户
宝马1系 2021款 120i M运动曜夜版,1万公里,2021-02,宁波,1年黄金会员,8.58,38.49万,新上架-0次过户
宝马X5(进口) 2018款 xDrive28i,6万公里,2017-11,宁波,1年黄金会员,8.58,38.49万,新上架-0次过户
宝马X5 M 2020款 X5 M,0.9万公里,2021-08,宁波,7年黄金会员,109.00,156.19万,新上架-准新车
宝马7系 2005款 740Li,20万公里,2006-01,杭州,4年会员,3.18,135.90万,新上架
宝马1系(进口) 2010款 120i运动限量版,11万公里,2010-09,杭州,4年会员,3.68,32.46万,新上架-0次过户
宝马2系 2018款 220i 敞篷轿跑车 运动设计套装,4.1万公里,2018-08,杭州,1年会员,16.78,31.89万,0次过户
宝马X3 2020款  xDrive28i M运动套装,5.64万公里,2020-01,杭州,1年会员,29.18,46.22万,0次过户
宝马1系 2017款 118i 时尚型,6.6万公里,2017-04,杭州,1年会员,8.50,22.23万,0次过户
宝马5系 2018款 525Li M运动套装,9.4万公里,2018-08,杭州,1年会员,27.80,47.42万,0次过户
宝马3系 2017款 320i M运动型,9.31万公里,2016-11,丽水,1年会员,13.58,34.74万,0次过户
宝马5系 2018款 530Li 领先型 豪华套装,9.2万公里,2018-02,丽水,1年会员,28.80,51.98万,0次过户
宝马X3 2020款  xDrive28i M运动套装,5.4万公里,2020-08,丽水,1年会员,29.98,46.22万,0次过户-原厂质保
宝马X6 2008款 xDrive35i,12万公里,2010-05,宁波,1年会员,29.98,46.22万,0次过户-原厂质保
宝马3系GT 2013款 320i 领先型,7.6万公里,2015-10,宁波,1年会员,29.98,46.22万,0次过户-原厂质保
宝马3系 2017款 320Li 时尚型,7万公里,2017-08,宁波,1年会员,29.98,46.22万,0次过户-原厂质保
宝马5系 2013款 525Li 领先型,9万公里,2013-01,宁波,1年会员,29.98,46.22万,0次过户-原厂质保
宝马X4 2014款 xDrive20i X设计套装,10.8万公里,2014-10,宁波,1年会员,15.00,53.17万,0次过户
宝马3系 2014款 320i 时尚型,6.13万公里,2014-07,杭州,1年会员,11.40,37.23万,无
宝马iX3 2021款 创领型,2.4万公里,2021-03,台州,1年黄金会员,28.98,47.75万,无
宝马3系 2019款 320Li 时尚型,7.31万公里,2019-01,杭州,1年会员,17.08,34.39万,无
宝马3系 2015款 316Li 时尚型,5.24万公里,2015-08,杭州,1年会员,11.38,34.93万,0次过户
宝马4系 2014款 428i 敞篷风尚设计套装,6.8万公里,2014-07,宁波,1年会员,11.38,34.93万,0次过户
宝马X4 2014款 xDrive20i X设计套装,6.5万公里,2015-04,宁波,1年会员,11.38,34.93万,0次过户
宝马X1 2019款 sDrive18Li 时尚型,4.2万公里,2019-06,宁波,1年会员,11.38,34.93万,0次过户
宝马5系 2018款 528Li 上市特别版,6万公里,2018-02,宁波,1年会员,11.38,34.93万,0次过户
宝马7系 2018款 730Li 领先型 卓越套装,9.7万公里,2017-06,宁波,1年会员,35.80,87.71万,0次过户
宝马X1 2018款 sDrive18Li 尊享型,6.3万公里,2017-07,宁波,2年会员,11.88,32.98万,0次过户
宝马3系 2010款 318i 领先型,8.2万公里,2010-10,宁波,2年会员,4.20,31.80万,0次过户
宝马M4 2021款 M4双门轿跑车 M xDrive 雷霆版,1.5万公里,2022-03,宁波,2年会员,4.20,31.80万,0次过户
宝马7系 2016款 730Li 领先型,9.5万公里,2016-06,宁波,2年会员,4.20,31.80万,0次过户
宝马X1 2016款 sDrive18Li 尊享型,9.7万公里,2016-07,宁波,2年会员,4.20,31.80万,0次过户
宝马3系 2017款 320Li 时尚型,6.8万公里,2017-04,宁波,2年会员,4.20,31.80万,0次过户
宝马X5(进口) 2008款 xDrive30i豪华型,15万公里,2008-07,杭州,2年会员,8.28,98.45万,无
宝马5系 2014款 525Li 领先型,12.8万公里,2014-01,宁波,1年会员,14.50,50.65万,无
宝马5系 2014款 525Li 领先型,10.5万公里,2015-01,宁波,1年会员,14.50,50.65万,0次过户
宝马2系旅行车 2016款 218i 时尚型,6.2万公里,2016-08,宁波,1年会员,7.90,25.49万,0次过户
宝马X5(进口) 2017款 xDrive35i M豪华运动型,6.56万公里,2017-12,宁波,1年会员,7.90,25.49万,0次过户
宝马5系 2014款 525Li 豪华设计套装,9.2万公里,2014-08,宁波,1年会员,7.90,25.49万,0次过户
宝马7系 2019款 730Li M运动套装,0.86万公里,2022-06,宁波,1年会员,7.90,25.49万,0次过户
宝马5系 2014款 525Li 领先型,8.5万公里,2015-09,宁波,1年会员,14.50,50.65万,0次过户
宝马1系(进口) 2012款 118i 运动型,7.5万公里,2012-01,宁波,1年会员,6.20,33.22万,无
宝马7系 2011款 730Li典雅型,11万公里,2011-09,杭州,1年会员,6.20,33.22万,无
宝马X3(进口) 2009款 xDrive25i豪华增配型,20万公里,2010-10,杭州,1年会员,4.00,63.07万,无
宝马4系 2014款 428i 敞篷风尚设计套装,5.2万公里,2015-01,宁波,1年会员,20.50,73.38万,0次过户
宝马3系 2023款 320Li M运动套装,0.65万公里,2022-01,宁波,1年会员,20.50,73.38万,0次过户
宝马3系 2020款 325Li M运动曜夜套装,3.1万公里,2019-09,宁波,1年会员,20.50,73.38万,0次过户
宝马3系 2020款 325Li M运动曜夜套装,0.9万公里,2019-09,宁波,1年会员,20.50,73.38万,0次过户
宝马5系 2021款 525Li M运动套装,4.8万公里,2021-01,宁波,1年会员,20.50,73.38万,0次过户
宝马4系 2016款 420i 敞篷时尚型,5.8万公里,2016-11,温州,1年会员,22.80,61.87万,0次过户
宝马X3 2022款 xDrive30i 领先型 M曜夜套装,4.8万公里,2021-01,宁波,1年会员,22.80,61.87万,0次过户
宝马X5(进口) 2017款 xDrive35i M运动型,9万公里,2017-02,宁波,1年会员,33.80,99.65万,无
宝马X4 2019款 xDrive25i M运动套装,3.8万公里,2018-12,宁波,1年会员,33.80,99.65万,无
宝马5系 2012款 520Li 典雅型,15万公里,2012-07,嘉兴,1年会员,33.80,99.65万,无
宝马3系 2014款 320i 进取型,10万公里,2013-12,杭州,2年会员,10.88,34.74万,0次过户
宝马5系 2021款 530Li 尊享型 M运动套装,2万公里,2021-04,宁波,1年会员,36.80,55.02万,准新车-0次过户
宝马3系 2013款 320Li 时尚型,8.69万公里,2012-12,宁波,1年黄金会员,8.58,38.49万,新上架-0次过户
宝马1系 2021款 120i M运动曜夜版,1万公里,2021-02,宁波,1年黄金会员,8.58,38.49万,新上架-0次过户
宝马X5(进口) 2018款 xDrive28i,6万公里,2017-11,宁波,1年黄金会员,8.58,38.49万,新上架-0次过户
宝马X5 M 2020款 X5 M,0.9万公里,2021-08,宁波,7年黄金会员,109.00,156.19万,新上架-准新车
宝马7系 2005款 740Li,20万公里,2006-01,杭州,4年会员,3.18,135.90万,新上架
宝马1系(进口) 2010款 120i运动限量版,11万公里,2010-09,杭州,4年会员,3.68,32.46万,新上架-0次过户
宝马2系 2018款 220i 敞篷轿跑车 运动设计套装,4.1万公里,2018-08,杭州,1年会员,16.78,31.89万,0次过户
宝马X3 2020款  xDrive28i M运动套装,5.64万公里,2020-01,杭州,1年会员,29.18,46.22万,0次过户
宝马1系 2017款 118i 时尚型,6.6万公里,2017-04,杭州,1年会员,8.50,22.23万,0次过户
宝马5系 2018款 525Li M运动套装,9.4万公里,2018-08,杭州,1年会员,27.80,47.42万,0次过户
宝马3系 2017款 320i M运动型,9.31万公里,2016-11,丽水,1年会员,13.58,34.74万,0次过户
宝马5系 2018款 530Li 领先型 豪华套装,9.2万公里,2018-02,丽水,1年会员,28.80,51.98万,0次过户
宝马X3 2020款  xDrive28i M运动套装,5.4万公里,2020-08,丽水,1年会员,29.98,46.22万,0次过户-原厂质保
宝马X6 2008款 xDrive35i,12万公里,2010-05,宁波,1年会员,29.98,46.22万,0次过户-原厂质保
宝马3系GT 2013款 320i 领先型,7.6万公里,2015-10,宁波,1年会员,29.98,46.22万,0次过户-原厂质保
宝马3系 2017款 320Li 时尚型,7万公里,2017-08,宁波,1年会员,29.98,46.22万,0次过户-原厂质保
宝马5系 2013款 525Li 领先型,9万公里,2013-01,宁波,1年会员,29.98,46.22万,0次过户-原厂质保
宝马X4 2014款 xDrive20i X设计套装,10.8万公里,2014-10,宁波,1年会员,15.00,53.17万,0次过户
宝马3系 2014款 320i 时尚型,6.13万公里,2014-07,杭州,1年会员,11.40,37.23万,无
宝马iX3 2021款 创领型,2.4万公里,2021-03,台州,1年黄金会员,28.98,47.75万,无
宝马3系 2019款 320Li 时尚型,7.31万公里,2019-01,杭州,1年会员,17.08,34.39万,无
宝马3系 2015款 316Li 时尚型,5.24万公里,2015-08,杭州,1年会员,11.38,34.93万,0次过户
宝马4系 2014款 428i 敞篷风尚设计套装,6.8万公里,2014-07,宁波,1年会员,11.38,34.93万,0次过户
宝马X4 2014款 xDrive20i X设计套装,6.5万公里,2015-04,宁波,1年会员,11.38,34.93万,0次过户
宝马X1 2019款 sDrive18Li 时尚型,4.2万公里,2019-06,宁波,1年会员,11.38,34.93万,0次过户
宝马5系 2018款 528Li 上市特别版,6万公里,2018-02,宁波,1年会员,11.38,34.93万,0次过户
宝马7系 2018款 730Li 领先型 卓越套装,9.7万公里,2017-06,宁波,1年会员,35.80,87.71万,0次过户
宝马X1 2018款 sDrive18Li 尊享型,6.3万公里,2017-07,宁波,2年会员,11.88,32.98万,0次过户
宝马3系 2010款 318i 领先型,8.2万公里,2010-10,宁波,2年会员,4.20,31.80万,0次过户
宝马M4 2021款 M4双门轿跑车 M xDrive 雷霆版,1.5万公里,2022-03,宁波,2年会员,4.20,31.80万,0次过户
宝马7系 2016款 730Li 领先型,9.5万公里,2016-06,宁波,2年会员,4.20,31.80万,0次过户
宝马X1 2016款 sDrive18Li 尊享型,9.7万公里,2016-07,宁波,2年会员,4.20,31.80万,0次过户
宝马3系 2017款 320Li 时尚型,6.8万公里,2017-04,宁波,2年会员,4.20,31.80万,0次过户
宝马X5(进口) 2008款 xDrive30i豪华型,15万公里,2008-07,杭州,2年会员,8.28,98.45万,无
宝马5系 2014款 525Li 领先型,12.8万公里,2014-01,宁波,1年会员,14.50,50.65万,无
宝马5系 2014款 525Li 领先型,10.5万公里,2015-01,宁波,1年会员,14.50,50.65万,0次过户
宝马2系旅行车 2016款 218i 时尚型,6.2万公里,2016-08,宁波,1年会员,7.90,25.49万,0次过户
宝马X5(进口) 2017款 xDrive35i M豪华运动型,6.56万公里,2017-12,宁波,1年会员,7.90,25.49万,0次过户
宝马5系 2014款 525Li 豪华设计套装,9.2万公里,2014-08,宁波,1年会员,7.90,25.49万,0次过户
宝马7系 2019款 730Li M运动套装,0.86万公里,2022-06,宁波,1年会员,7.90,25.49万,0次过户
宝马5系 2014款 525Li 领先型,8.5万公里,2015-09,宁波,1年会员,14.50,50.65万,0次过户
宝马1系(进口) 2012款 118i 运动型,7.5万公里,2012-01,宁波,1年会员,6.20,33.22万,无
宝马7系 2011款 730Li典雅型,11万公里,2011-09,杭州,1年会员,6.20,33.22万,无
宝马X3(进口) 2009款 xDrive25i豪华增配型,20万公里,2010-10,杭州,1年会员,4.00,63.07万,无
宝马4系 2014款 428i 敞篷风尚设计套装,5.2万公里,2015-01,宁波,1年会员,20.50,73.38万,0次过户
宝马3系 2023款 320Li M运动套装,0.65万公里,2022-01,宁波,1年会员,20.50,73.38万,0次过户
宝马3系 2020款 325Li M运动曜夜套装,3.1万公里,2019-09,宁波,1年会员,20.50,73.38万,0次过户
宝马3系 2020款 325Li M运动曜夜套装,0.9万公里,2019-09,宁波,1年会员,20.50,73.38万,0次过户
宝马5系 2021款 525Li M运动套装,4.8万公里,2021-01,宁波,1年会员,20.50,73.38万,0次过户
宝马4系 2016款 420i 敞篷时尚型,5.8万公里,2016-11,温州,1年会员,22.80,61.87万,0次过户
宝马X3 2022款 xDrive30i 领先型 M曜夜套装,4.8万公里,2021-01,宁波,1年会员,22.80,61.87万,0次过户
宝马X5(进口) 2017款 xDrive35i M运动型,9万公里,2017-02,宁波,1年会员,33.80,99.65万,无
宝马X4 2019款 xDrive25i M运动套装,3.8万公里,2018-12,宁波,1年会员,33.80,99.65万,无
宝马5系 2012款 520Li 典雅型,15万公里,2012-07,嘉兴,1年会员,33.80,99.65万,无
宝马3系 2014款 320i 进取型,10万公里,2013-12,杭州,2年会员,10.88,34.74万,0次过户
宝马5系 2021款 530Li 尊享型 M运动套装,2万公里,2021-04,宁波,1年会员,36.80,55.02万,准新车-0次过户
宝马3系 2013款 320Li 时尚型,8.69万公里,2012-12,宁波,1年黄金会员,8.58,38.49万,新上架-0次过户
宝马1系 2021款 120i M运动曜夜版,1万公里,2021-02,宁波,1年黄金会员,8.58,38.49万,新上架-0次过户
宝马X5(进口) 2018款 xDrive28i,6万公里,2017-11,宁波,1年黄金会员,8.58,38.49万,新上架-0次过户
宝马X5 M 2020款 X5 M,0.9万公里,2021-08,宁波,7年黄金会员,109.00,156.19万,新上架-准新车
宝马7系 2005款 740Li,20万公里,2006-01,杭州,4年会员,3.18,135.90万,新上架
宝马1系(进口) 2010款 120i运动限量版,11万公里,2010-09,杭州,4年会员,3.68,32.46万,新上架-0次过户
宝马2系 2018款 220i 敞篷轿跑车 运动设计套装,4.1万公里,2018-08,杭州,1年会员,16.78,31.89万,0次过户
宝马X3 2020款  xDrive28i M运动套装,5.64万公里,2020-01,杭州,1年会员,29.18,46.22万,0次过户
宝马1系 2017款 118i 时尚型,6.6万公里,2017-04,杭州,1年会员,8.50,22.23万,0次过户
宝马5系 2018款 525Li M运动套装,9.4万公里,2018-08,杭州,1年会员,27.80,47.42万,0次过户
宝马3系 2017款 320i M运动型,9.31万公里,2016-11,丽水,1年会员,13.58,34.74万,0次过户
宝马5系 2018款 530Li 领先型 豪华套装,9.2万公里,2018-02,丽水,1年会员,28.80,51.98万,0次过户
宝马X3 2020款  xDrive28i M运动套装,5.4万公里,2020-08,丽水,1年会员,29.98,46.22万,0次过户-原厂质保
