,品牌,生产,型号,里程,日期,地区,会员,原价,现价,过户情况
771,宝马X5(进口),2020款,xDrive40i,5.2万公里,2020-08,宁波,7年黄金会员,63.0,82.48万,无
772,宝马X5(进口),2020款,xDrive40i,3.9万公里,2020-05,嘉兴,5年钻石会员,59.8,82.48万,无
773,宝马X5(进口),2020款,xDrive40i,2万公里,2021-01,杭州,3年黄金会员,66.89,82.48万,无
774,宝马X6,2020款,xDrive30i,3.2万公里,2020-09,宁波,4年会员,55.8,83.24万,新上架-0次过户
775,宝马X6,2021款,xDrive30i,2万公里,2021-05,宁波,3年黄金会员,59.8,83.24万,无
776,宝马X6,2018款,xDrive28i,8万公里,2018-07,金华,6年黄金会员,36.8,84.00万,0次过户
777,宝马X6,2018款,xDrive28i,8.72万公里,2018-02,杭州,6年黑金会员,40.68,84.00万,0次过户
778,宝马6系GT,2018款,640i,6.3万公里,2018-11,杭州,5年黑金会员,46.88,86.83万,无
779,宝马7系,2018款,730Li,6.82万公里,2019-03,杭州,6年黑金会员,49.88,87.71万,0次过户
780,宝马7系,2018款,730Li,14万公里,2018-08,宁波,3年会员,37.98,87.71万,无
781,宝马7系,2018款,730Li,9.7万公里,2017-06,宁波,1年会员,35.8,87.71万,0次过户
782,宝马Z4,2012款,sDrive35i十周年版,6.6万公里,2013-03,宁波,2年黄金会员,15.5,87.71万,0次过户
783,宝马5系GT,2011款,535i,12万公里,2012-11,宁波,1年黄金会员,14.8,87.81万,0次过户
784,宝马5系GT,2011款,535i,15万公里,2011-09,温州,2年黄金会员,12.58,87.81万,0次过户
785,宝马7系,2021款,730Li,2.1万公里,2021-09,台州,3年黄金会员,64.8,89.88万,无
786,宝马7系,2019款,730Li,3.2万公里,2020-12,宁波,4年会员,52.8,89.88万,0次过户-原厂质保
787,宝马7系,2011款,730Li典雅型,9.2万公里,2012-06,温州,4年会员,52.8,89.88万,0次过户-原厂质保
788,宝马7系,2019款,730Li,6.95万公里,2020-03,金华,6年黄金会员,56.88,89.88万,无
789,宝马7系,2019款,730Li,3万公里,2020-02,宁波,2年黄金会员,55.0,89.88万,0次过户-原厂质保
790,宝马7系,2019款,730Li,5万公里,2019-08,宁波,1年黄金会员,51.8,89.88万,0次过户
791,宝马X5(进口),2008款,xDrive30i领先型,20万公里,2008-08,杭州,2年黄金会员,6.88,90.85万,0次过户
792,宝马X5(进口),2017款,xDrive35i,6万公里,2017-06,温州,1年黄金会员,37.99,90.96万,0次过户
793,宝马X5(进口),2014款,xDrive35i,12万公里,2014-11,嘉兴,6年黄金会员,29.98,90.96万,0次过户
794,宝马X5(进口),2014款,xDrive35i,16万公里,2015-03,宁波,3年黄金会员,24.0,90.96万,0次过户
795,宝马X5(进口),2014款,xDrive35i,9.4万公里,2014-09,杭州,2年黄金会员,27.98,90.96万,无
796,宝马X5(进口),2017款,xDrive35i,8万公里,2017-07,宁波,1年黄金会员,35.98,90.96万,0次过户
797,宝马M3,2021款,M3四门轿车,2万公里,2021-08,杭州,7年黄金会员,88.8,92.25万,准新车-0次过户
798,宝马X5(进口),2020款,xDrive40i,2万公里,2020-09,杭州,3年黄金会员,68.5,92.25万,新上架-原厂质保
799,宝马X5(进口),2019款,xDrive40i,9.4万公里,2019-10,嘉兴,6年黄金会员,55.0,92.25万,0次过户
800,宝马X5(进口),2009款,xDrive30i领先型,10万公里,2009-04,宁波,2年黄金会员,8.0,92.59万,0次过户
801,宝马6系,2016款,640i,7.8万公里,2018-11,宁波,1年黄金会员,39.88,93.13万,0次过户
802,宝马6系,2016款,640i,4.7万公里,2017-07,杭州,3年钻石会员,36.98,93.13万,无
803,宝马X5新能源(进口),2021款,xDrive45e,5.25万公里,2021-05,杭州,5年黑金会员,73.88,93.34万,0次过户-原厂质保
804,宝马7系,2008款,730Li领先型,16万公里,2007-11,宁波,1年黄金会员,5.5,94.22万,无
805,宝马M4,2019款,M4双门轿跑车猎影版,2.3万公里,2019-07,杭州,7年黄金会员,57.8,94.43万,无
806,宝马7系,2004款,730Li,21万公里,2005-07,宁波,1年黄金会员,3.18,94.44万,0次过户
807,宝马M4,2021款,M4双门轿跑车,0.18万公里,2021-11,嘉兴,3年钻石会员,88.88,95.51万,准新车-0次过户
808,宝马M4,2021款,M4双门轿跑车,1万公里,2022-01,杭州,7年黄金会员,96.8,95.51万,新上架-准新车
809,宝马M4,2021款,M4双门轿跑车,0.7万公里,2022-01,杭州,2年黄金会员,93.8,95.51万,无
810,宝马5系GT,2013款,535i,15万公里,2013-08,温州,1年黄金会员,18.2,96.72万,无
811,宝马5系GT,2013款,535i,14万公里,2012-12,绍兴,3年黄金会员,17.8,96.72万,0次过户
812,宝马5系GT,2013款,535i,10万公里,2013-04,宁波,3年会员,17.0,96.72万,0次过户
813,宝马7系,2011款,730Li典雅型,15万公里,2011-06,宁波,1年黄金会员,14.3,97.48万,无
814,宝马7系,2017款,730Li,7.8万公里,2017-01,温州,2年黄金会员,38.98,97.48万,0次过户
815,宝马7系,2016款,730Li,7万公里,2017-03,宁波,2年黄金会员,37.5,97.48万,0次过户
816,宝马7系,2011款,730Li典雅型,13万公里,2012-11,温州,1年会员,16.8,97.48万,0次过户
817,宝马7系,2011款,730Li典雅型,15万公里,2011-11,台州,1年黄金会员,11.6,97.48万,0次过户
818,宝马7系,2011款,730Li典雅型,12万公里,2012-03,温州,3年黄金会员,16.8,97.48万,0次过户
819,宝马7系,2011款,730Li典雅型,11.8万公里,2011-07,宁波,1年黄金会员,14.28,97.48万,0次过户
820,宝马7系,2011款,730Li典雅型,18万公里,2011-11,湖州,1年黄金会员,10.88,97.48万,0次过户
821,宝马M4,2019款,M4双门轿跑车竞速版,3.4万公里,2019-04,杭州,1年黄金会员,53.8,97.68万,无
822,宝马M4,2019款,M4双门轿跑车竞速版,5万公里,2019-11,台州,6年黄金会员,59.8,97.68万,无
823,宝马X3,M,2019款,5万公里,2020-10,金华,3年黄金会员,54.8,97.68万,无
824,宝马X5(进口),2013款,xDrive35i,11.6万公里,2013-11,杭州,6年黄金会员,14.8,97.80万,无
825,宝马M4,2017款,M4双门轿跑车,6.9万公里,2018-10,杭州,3年黄金会员,55.8,98.43万,新上架-0次过户
826,宝马X5(进口),2008款,xDrive30i豪华型,15万公里,2008-07,杭州,2年会员,8.28,98.45万,无
827,宝马X5(进口),2008款,xDrive30i豪华型,13万公里,2008-08,温州,4年黄金会员,7.88,98.45万,0次过户
828,宝马X4,2019款,xDrive25i,3.8万公里,2018-12,宁波,1年会员,33.8,99.65万,无
829,宝马X5(进口),2017款,xDrive35i,9万公里,2017-02,宁波,1年会员,33.8,99.65万,无
830,宝马5系,2012款,520Li,15万公里,2012-07,嘉兴,1年会员,33.8,99.65万,无
831,宝马X5(进口),2014款,xDrive35i,10万公里,2014-05,宁波,1年黄金会员,26.8,99.65万,0次过户
832,宝马X6,2015款,xDrive35i,11万公里,2016-12,金华,6年黄金会员,29.68,99.65万,0次过户
833,宝马X5(进口),2014款,xDrive35i,11万公里,2015-02,宁波,1年黄金会员,26.0,99.65万,无
834,宝马X6,2015款,xDrive35i,10万公里,2016-06,宁波,1年黄金会员,27.8,99.65万,无
835,宝马X5(进口),2014款,xDrive35i,9万公里,2014-03,宁波,1年黄金会员,22.8,99.65万,无
836,宝马X5(进口),2014款,xDrive35i,12.5万公里,2014-06,宁波,1年黄金会员,25.5,99.65万,0次过户
837,宝马X5(进口),2014款,xDrive35i,15万公里,2015-06,宁波,3年钻石会员,26.8,99.65万,无
838,宝马X1,2018款,xDrive20Li,6.3万公里,2018-05,宁波,1年黄金会员,25.5,99.65万,0次过户
